step,fitness,best,sigma
0,0.5433808241287867,0.5433808241287867,0.002
1,0.5429488243659337,0.5433808241287867,0.002
2,0.54362713098526,0.54362713098526,0.002
3,0.5434388116995493,0.54362713098526,0.002
4,0.5437604055802028,0.5437604055802028,0.002
5,0.5434839755296708,0.5437604055802028,0.002
6,0.5432669989267985,0.5437604055802028,0.002
7,0.543468156059583,0.5437604055802028,0.002
8,0.5432251441478729,0.5437604055802028,0.002
9,0.5433619616429011,0.5437604055802028,0.002
10,0.5433997231721878,0.5437604055802028,0.002
11,0.5434605139493942,0.5437604055802028,0.002
12,0.5434601140022278,0.5437604055802028,0.002
13,0.543424847126007,0.5437604055802028,0.002
14,0.5437128261725108,0.5437604055802028,0.002
15,0.543555704553922,0.5437604055802028,0.002
16,0.543426819841067,0.5437604055802028,0.002
17,0.5438361404339472,0.5438361404339472,0.002
18,0.5432823838790258,0.5438361404339472,0.002
19,0.5433649287621181,0.5438361404339472,0.002
20,0.5435094420115153,0.5438361404339472,0.002
21,0.5433102387189865,0.5438361404339472,0.002
22,0.5435367925961813,0.5438361404339472,0.002
23,0.5430007509390513,0.5438361404339472,0.002
24,0.543430810769399,0.5438361404339472,0.002
25,0.5435925517479578,0.5438361404339472,0.002
26,0.5435994406541188,0.5438361404339472,0.002
27,0.5433351155122121,0.5438361404339472,0.002
28,0.5432815951108932,0.5438361404339472,0.002
29,0.5432612250248591,0.5438361404339472,0.002
30,0.543169043858846,0.5438361404339472,0.002
31,0.5433940444389979,0.5438361404339472,0.002
32,0.5431046901146571,0.5438361404339472,0.002
33,0.5432688520352046,0.5438361404339472,0.002
34,0.543181804617246,0.5438361404339472,0.002
35,0.5431282736857732,0.5438361404339472,0.002
36,0.5434556885560353,0.5438361404339472,0.002
37,0.543393784960111,0.5438361404339472,0.002
38,0.5435738388697307,0.5438361404339472,0.002
39,0.543666554093361,0.5438361404339472,0.002
40,0.5433854911724726,0.5438361404339472,0.002
41,0.5435140633583069,0.5438361404339472,0.002
42,0.543402088880539,0.5438361404339472,0.002
43,0.5434290440877279,0.5438361404339472,0.002
44,0.5434500233332316,0.5438361404339472,0.002
45,0.5436854777733485,0.5438361404339472,0.002
46,0.5437984017531077,0.5438361404339472,0.002
47,0.5436669226487477,0.5438361404339472,0.002
48,0.5439039272069931,0.5439039272069931,0.002
49,0.5442658843596776,0.5442658843596776,0.002
50,0.5443195223808288,0.5443195223808288,0.002
51,0.5437401930491129,0.5443195223808288,0.002
52,0.5436215343077978,0.5443195223808288,0.002
53,0.543855647444725,0.5443195223808288,0.002
54,0.5439129227399826,0.5443195223808288,0.002
55,0.5438875814278921,0.5443195223808288,0.002
56,0.5436908495426178,0.5443195223808288,0.002
57,0.5437369891007742,0.5443195223808288,0.002
58,0.5439439199368159,0.5443195223808288,0.002
59,0.5438120593627294,0.5443195223808288,0.002
60,0.5440109028418859,0.5443195223808288,0.002
61,0.5437542376915614,0.5443195223808288,0.002
62,0.5439082340399424,0.5443195223808288,0.002
63,0.5439569570620855,0.5443195223808288,0.002
64,0.5438639179865519,0.5443195223808288,0.002
65,0.5439199161529541,0.5443195223808288,0.002
66,0.5438696642716726,0.5443195223808288,0.002
67,0.5437606559197108,0.5443195223808288,0.002
68,0.5435423888762791,0.5443195223808288,0.002
69,0.543959670861562,0.5443195223808288,0.002
70,0.5442098108927409,0.5443195223808288,0.002
71,0.5444974452257156,0.5444974452257156,0.002
72,0.544385392665863,0.5444974452257156,0.002
73,0.5439280766248703,0.5444974452257156,0.002
74,0.544026697476705,0.5444974452257156,0.002
75,0.5440660005807877,0.5444974452257156,0.002
76,0.5442450821399689,0.5444974452257156,0.002
77,0.5444990362723668,0.5444990362723668,0.002
78,0.5440527453025182,0.5444990362723668,0.002
79,0.5444417814413707,0.5444990362723668,0.002
80,0.5446278196573258,0.5446278196573258,0.002
81,0.5444622057676315,0.5446278196573258,0.002
82,0.5442456694444021,0.5446278196573258,0.002
83,0.544012360572815,0.5446278196573258,0.002
84,0.5444596614440282,0.5446278196573258,0.002
85,0.5445604358116786,0.5446278196573258,0.002
86,0.5442917573451996,0.5446278196573258,0.002
87,0.5443615641196569,0.5446278196573258,0.002
88,0.5444911630948385,0.5446278196573258,0.002
89,0.5441441130638123,0.5446278196573258,0.002
90,0.5444643076260884,0.5446278196573258,0.002
91,0.544714504480362,0.544714504480362,0.002
92,0.5446717933813731,0.544714504480362,0.002
93,0.5448137933015823,0.5448137933015823,0.002
94,0.5449167035023371,0.5449167035023371,0.002
95,0.5450290596485138,0.5450290596485138,0.002
96,0.5446584284305572,0.5450290596485138,0.002
97,0.5451035942633947,0.5451035942633947,0.002
98,0.5453204369544983,0.5453204369544983,0.002
99,0.54479450126489,0.5453204369544983,0.002
100,0.5448037016391755,0.5453204369544983,0.002
101,0.5457270324230195,0.5457270324230195,0.002
102,0.5445247914393743,0.5457270324230195,0.002
103,0.5446305563052495,0.5457270324230195,0.002
104,0.5444084177414577,0.5457270324230195,0.002
105,0.5452007283767064,0.5457270324230195,0.002
106,0.5449823147058487,0.5457270324230195,0.002
107,0.5445225890477499,0.5457270324230195,0.002
108,0.5446719336509704,0.5457270324230195,0.002
109,0.54494788646698,0.5457270324230195,0.002
110,0.5454058742523193,0.5457270324230195,0.002
111,0.5445769534508387,0.5457270324230195,0.002
112,0.5448505882422129,0.5457270324230195,0.002
113,0.5447008496522904,0.5457270324230195,0.002
114,0.5444819257656733,0.5457270324230195,0.002
115,0.5445325903097789,0.5457270324230195,0.002
116,0.5450110642115275,0.5457270324230195,0.002
117,0.5456432300806046,0.5457270324230195,0.002
118,0.5455689205725988,0.5457270324230195,0.002
119,0.5452547258138657,0.5457270324230195,0.002
120,0.5450353527069092,0.5457270324230195,0.002
121,0.5449455507596334,0.5457270324230195,0.002
122,0.5447192905346553,0.5457270324230195,0.002
123,0.5449155056476593,0.5457270324230195,0.002
124,0.5446730816364288,0.5457270324230195,0.002
125,0.5449284664789835,0.5457270324230195,0.002
126,0.545168225367864,0.5457270324230195,0.002
127,0.5446067736546198,0.5457270324230195,0.002
128,0.545019363562266,0.5457270324230195,0.002
129,0.544861227273941,0.5457270324230195,0.002
130,0.5446312304337819,0.5457270324230195,0.002
131,0.5449568716684977,0.5457270324230195,0.002
132,0.5453649302323659,0.5457270324230195,0.002
133,0.5452333949009578,0.5457270324230195,0.002
134,0.5456460144122441,0.5457270324230195,0.002
135,0.5454019240538279,0.5457270324230195,0.002
136,0.5449044483900071,0.5457270324230195,0.002
137,0.5460079252719879,0.5460079252719879,0.002
138,0.5456369147698085,0.5460079252719879,0.002
139,0.5458906718095143,0.5460079252719879,0.002
140,0.545262933174769,0.5460079252719879,0.002
141,0.5456815111637116,0.5460079252719879,0.002
142,0.545481006304423,0.5460079252719879,0.002
143,0.545785135825475,0.5460079252719879,0.002
144,0.5457631927728653,0.5460079252719879,0.002
145,0.5450492026408513,0.5460079252719879,0.002
146,0.545179856022199,0.5460079252719879,0.002
147,0.5453387580315272,0.5460079252719879,0.002
148,0.5454589076836904,0.5460079252719879,0.002
149,0.5450745459397633,0.5460079252719879,0.002
150,0.5450979562600454,0.5460079252719879,0.002
151,0.5456220930814744,0.5460079252719879,0.002
152,0.5449567212661107,0.5460079252719879,0.002
153,0.5449887384970983,0.5460079252719879,0.002
154,0.5453145758310953,0.5460079252719879,0.002
155,0.5452257227897644,0.5460079252719879,0.002
156,0.5454130774736404,0.5460079252719879,0.002
157,0.5451816153526307,0.5460079252719879,0.002
158,0.5454691636562348,0.5460079252719879,0.002
159,0.5453091474374135,0.5460079252719879,0.002
160,0.5450653088092804,0.5460079252719879,0.002
161,0.5453706419467926,0.5460079252719879,0.002
162,0.5456042677164078,0.5460079252719879,0.002
163,0.545210835536321,0.5460079252719879,0.002
164,0.5449489217996597,0.5460079252719879,0.002
165,0.5456074959039688,0.5460079252719879,0.002
166,0.5454751276969909,0.5460079252719879,0.002
167,0.5454000196854274,0.5460079252719879,0.002
168,0.5451610346635183,0.5460079252719879,0.002
169,0.5452968213955561,0.5460079252719879,0.002
170,0.5456410451730093,0.5460079252719879,0.002
171,0.5452673244476318,0.5460079252719879,0.002
172,0.5457189641396205,0.5460079252719879,0.002
173,0.5452883183956146,0.5460079252719879,0.002
174,0.54517897884051,0.5460079252719879,0.002
175,0.5453734018405278,0.5460079252719879,0.002
176,0.5458949422836303,0.5460079252719879,0.002
177,0.5455852009852727,0.5460079252719879,0.002
178,0.5455523627996445,0.5460079252719879,0.002
179,0.5452244897683461,0.5460079252719879,0.002
180,0.5456054425239563,0.5460079252719879,0.002
181,0.5452351303895314,0.5460079252719879,0.002
182,0.5455640010039011,0.5460079252719879,0.002
183,0.545641036828359,0.5460079252719879,0.002
184,0.5459081153074901,0.5460079252719879,0.002
185,0.5458110956350962,0.5460079252719879,0.002
186,0.5457968280712764,0.5460079252719879,0.002
187,0.5459059995412826,0.5460079252719879,0.002
188,0.5457721781730652,0.5460079252719879,0.002
189,0.5459850027163824,0.5460079252719879,0.002
190,0.5459094421068827,0.5460079252719879,0.002
191,0.5458934394518534,0.5460079252719879,0.002
192,0.5460033917427063,0.5460079252719879,0.002
193,0.5460618491967519,0.5460618491967519,0.002
194,0.5457099405924479,0.5460618491967519,0.002
195,0.5459757882356644,0.5460618491967519,0.002
196,0.5456257255872091,0.5460618491967519,0.002
197,0.545860215028127,0.5460618491967519,0.002
198,0.5459211965401968,0.5460618491967519,0.002
199,0.5459172133604685,0.5460618491967519,0.002
